What was the activity about?,"Overall, what is your level of satisfaction after attending this activity?",The activity was engaging,"I felt comfortable asking questions during the activity (i.e., enough time, clear responses, etc.)",The activity provided me with information/resources that I can apply to my job search process.,What is the one most valuable thing you have learned during this activity (knowledge or skill) that you anticipate implementing in your job search/career journey?,What recommendations would you suggest for improving the activity overall?,Do you have any other comments that you would like to share?
5-Day Sector Specific Training,Very satisfied,Agree,Agree,Agree,Analyze the job and make a resume based on it.,Add more sectors for coaching.,No
5-Day Sector Specific Training,Satisfied,Strongly agree,Strongly agree,Strongly agree,"Digital resume, ",,"I loved all season of next week, to be honest. Today is the most disengaged day. The three presentations were not interactive enough to keep me motivated. "
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Learnt so much about how to navigate the hiding job market. Most especially the new skill of creating digital resume and portfolio.,The program/training was well structure. No additional recommendation,Grateful to Worldskill for the opportunity to the part of this amazing program.
5-Day Sector Specific Training,Satisfied,Strongly agree,Strongly agree,Agree,Elevator pitch,,
5-Day Sector Specific Training,Very satisfied,Agree,Strongly agree,Strongly agree,Knowledge about the financial industry of Canada and so much valuable information,It is really exhausting for almost two weeks of full-time training. ,Share all presentations to participants 
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Digital Resume,If possible you can directly refer to employers those who you found capable.,
5-Day Sector Specific Training,Very satisfied,Strongly disagree,Strongly disagree,Strongly disagree,,,
5-Day Sector Specific Training,Satisfied,Agree,Agree,Agree,Information on networking,"Recognizing that some people have mental health issues, and have other creative ways to keep to improve on professional networking skills ",Thank you
5-Day Sector Specific Training,Satisfied,Agree,Strongly agree,Agree,Digital resume,"Cover more technical streams (outside finance, business, banking, IT) like mechanical and other engineering fields.",
5-Day Sector Specific Training,Satisfied,Agree,Agree,Agree,connections and communication- new information,No,No
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,How to show the value that I can bring to a company through my skills,Face to face session are better than online,
5-Day Sector Specific Training,Satisfied,Agree,Agree,Agree,checking the resume/Linkedin profile   get to know more the environnement of work in canada ,,
Employer Coaching Session,Very satisfied,Strongly agree,Strongly agree,Strongly agree,,,
Employer Coaching Session,Very satisfied,Strongly agree,Strongly agree,Strongly agree,That only English is essential at Carleton University. ,,Thank you Norah for your recommendation related to the Teaching & Learning  Services as a potential field.
5-Day Sector Specific Training,Very satisfied,Strongly disagree,Strongly disagree,Strongly disagree,"worked on Digital resume and portfolio, Linkedin networking",Extend overview on PMP and Canva editor,Thank you!
Employer Coaching Session,Satisfied,Agree,Agree,Agree,Networking,It's just Perfect !,Keep up the good work!! You're doing a wonderful one!!
Employer Coaching Session,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Where to search : 1- University website; 2-University Affairs; 3-Canadian Association of University Teachers.         ,The activity was excellent.,No comment
5-Day Sector Specific Training,Very satisfied,Agree,Agree,Agree,"interview skills, job searching tips",bring in more recruiters from the sector,"it was a great experience, would definitely recommend to other people"
Employer Coaching Session,Satisfied,Agree,Agree,Agree,How to apply for a job in the Higher Education sector,,Thank you
Employer Coaching Session,Satisfied,Agree,Agree,Agree,knowledge about private school,,
5-Day Sector Specific Training,Satisfied,Agree,Neutral,Strongly agree,how to answer with STAR METHOD  the importance of COVER LETTER  the basis of PROJECT MANAGER and BUSINESS ANALYST,exercices/ some introduction's videos about each subject / key words definitions,"no, it was very beneficial, thank you"
5-Day Sector Specific Training,Neutral,Agree,Agree,Agree,,None,None
5-Day Sector Specific Training,Very satisfied ,Strongly agree,Strongly agree,Strongly agree,"It wass essential knowlage about canadian experience, also building porfolio and digital resume.",Maybe extra hour with explanation for people who never use Canva o similar resources. And ofcourse more hours for project management!,Thank you for your exellent work!
5-Day Sector Specific Training,Very satisfied ,,,,,,
5-Day Sector Specific Training,Satisfied,Agree,Agree,Strongly agree,how to answer interview question by using the STAR method / the project manger (i learn a lot of thing about) coaching session,"i don’t have a specific recommendations , i was lucky to be part of it !  thank you","it’s intensive, a lot of information to assimilate in short time  , a liitle bit tiring "
5-Day Sector Specific Training,Very satisfied ,Strongly agree,Strongly agree,Strongly agree,Networking and connecting breaking barrier. Information sharing and collaborating with peers for success ,None moment,No
5-Day Sector Specific Training,Satisfied,Agree,Agree,Strongly agree,Professional & appealing LinkedIn Profile/Several digital tools to create a Digital Resume et Online Portfolio/ Focus on STAR technique when answering interview questions and meeting superstar guests and taking into account their valuable advices ,To make the training less condensed in order to provide more time to clients to digest to content in an effective way especially if it's new for them.,"Most of the clients are outside of their comfort zone, some of them maybe even frustrated because of the current situation. SSEI team is doing a great job keeping us motivated and supporting us during this tough time! Much appreciated!!"
5-Day Sector Specific Training,Very satisfied ,Strongly agree,Strongly agree,Strongly agree,not one specific thing but a lot of tips,S/O,S/O
5-Day Sector Specific Training,Satisfied,Agree,Strongly agree,Agree,"The various venues for finding jobs. The mock up interviews feed back. The complentary digital resume, portfolio , video resum how to's/guides.",More hands on activities/feedback on resume writing and cover letters (and cover letters role/importance/customization methods),Thank you
5-Day Sector Specific Training,Very satisfied ,Strongly agree,Strongly agree,Agree,Facilitators and special guests were always willing to accept any kind of question and to respond them. ,,
5-Day Sector Specific Training,Satisfied,Agree,Agree,Agree,knowledge ,I recommend the time for the session is increased to help for better understanding,No
5-Day Sector Specific Training,Very satisfied ,Strongly agree,Strongly agree,Agree,It was very refresher to know about business analyses and its roles in the company which is important for every single employee to know and be able to do the calculations.,I would strongly recommend to have PMP and such courses for long terms and shorter hours.,"Overall, the sessions were very informative and usefull and hope to consider my above mentioned suggesstion. Secondly the vedios or relevant information to support he details of the course will be highly appreciated if they are provided by presenter"
5-Day Sector Specific Training,Satisfied,Agree,Agree,Agree,This activity gave me an opportunity of understanding better how I can enlarge the scope of possible job opportunities I can explore.,"It would be interesting to ivite if possible some employers who would be willing to share more information on how they selected one aplication among similar ones, having a concrete idea on the determining factors considered. ","Generally speaking, the big issues for Immigrants with a certain experience is how to get a job other that the startup job. If there was a possibility of organising on job training to prepare new comer to a real work environment, this would help."
Employer Coaching Session,Very satisfied ,Strongly agree,Strongly agree,Strongly agree,,,
5-Day Sector Specific Training,Very satisfied ,Strongly agree,Strongly agree,Strongly agree,Training with Stephanie about Project managment and business analysis was very useful and helpful. great content ,the whole program is great. ,"Darine did a very good job, Organizing and supportive. I will definitely recommend this program to others."
5-Day Sector Specific Training,Very satisfied ,Strongly agree,Agree,Strongly agree,"This five-day training helped me understand how to build a job search process so that it is effective in Canada. I am very grateful for the personal stories and experiences shared by the organizers, coaches, and participants.",Case-studying is very useful. I would like to hear more cases from World Skills Training Center how newcomers successfully changed carees or continued in their fields. I would like to know more ways of how successfully integrate to labour markers ,I would like to apologize to the group for not being so active. I have been sick this week. Didn’t turn my camera 
